material_id,predicted_formation_energy,optimal_synthesis_temp_C,optimal_atmosphere,heating_rate_C_min,sintering_time_h,predicted_particle_size_nm,predicted_surface_area_m2_g,synthesis_yield_percent,cost_per_gram_USD,scalability_score
NCM811_LiVac0,4.10,850,air,5,12,180,4.2,94.5,12.50,8.5
NCM811_LiVac0_aug0,4.12,855,air,5,12,185,4.1,94.2,12.55,8.4
NCM811_LiVac0_aug1,4.08,845,air,5,12,175,4.3,94.8,12.45,8.6
NCM811_LiVac0_aug2,4.11,852,air,5,12,182,4.2,94.4,12.52,8.5
NCM811_LiVac1,4.25,870,air,4,14,195,3.9,92.1,13.20,7.8
NCM811_LiVac1_aug0,4.28,875,air,4,14,200,3.8,91.8,13.35,7.7
NCM811_LiVac1_aug1,4.23,865,air,4,14,190,4.0,92.4,13.15,7.9
NCM811_LiVac1_aug2,4.27,872,air,4,14,198,3.9,92.0,13.25,7.8
NCM811_LiVac2,4.35,890,air,3,16,220,3.5,89.2,14.80,7.1
NCM811_LiVac2_aug0,4.38,895,air,3,16,225,3.4,88.9,14.95,7.0
NCM811_LiVac2_aug1,4.33,885,air,3,16,215,3.6,89.5,14.75,7.2
NCM811_LiVac2_aug2,4.37,892,air,3,16,222,3.5,89.1,14.85,7.1
NCA_LiVac0,3.80,900,air,5,10,165,4.8,96.2,15.80,9.2
NCA_LiVac0_aug0,3.82,905,air,5,10,168,4.7,96.0,15.85,9.1
NCA_LiVac0_aug1,3.79,895,air,5,10,162,4.9,96.4,15.75,9.3
NCA_LiVac0_aug2,3.81,902,air,5,10,166,4.8,96.1,15.82,9.2
NCA_LiVac1,3.94,920,air,4,12,180,4.4,94.5,16.50,8.6
NCA_LiVac1_aug0,3.97,925,air,4,12,185,4.3,94.2,16.65,8.5
NCA_LiVac1_aug1,3.92,915,air,4,12,175,4.5,94.8,16.45,8.7
NCA_LiVac1_aug2,3.96,922,air,4,12,182,4.4,94.4,16.58,8.6
NCA_LiVac2,4.05,940,air,3,14,200,4.0,92.1,17.90,8.0
NCA_LiVac2_aug0,4.08,945,air,3,14,205,3.9,91.8,18.05,7.9
NCA_LiVac2_aug1,4.03,935,air,3,14,195,4.1,92.4,17.85,8.1
NCA_LiVac2_aug2,4.07,942,air,3,14,202,4.0,92.0,17.95,8.0
Candidate_01,4.20,820,air,6,10,155,5.1,97.2,11.80,9.5
Candidate_02,4.18,815,air,6,10,152,5.2,97.5,11.75,9.6
Candidate_03,4.22,825,air,6,10,158,5.0,97.0,11.85,9.4
Candidate_04,3.90,880,air,5,11,170,4.6,95.8,14.20,9.0
Candidate_05,3.88,875,air,5,11,168,4.7,96.1,14.15,9.1
Candidate_06,3.95,885,air,5,11,172,4.5,95.5,14.25,8.9
Candidate_07,4.30,910,air,3,18,240,3.2,86.5,16.50,6.8
Candidate_08,4.33,915,air,3,18,245,3.1,86.2,16.65,6.7
Candidate_09,4.40,925,air,2,20,260,2.9,84.1,17.80,6.2
Candidate_10,4.12,840,air,5,11,178,4.3,95.2,12.20,8.8 
